"Project","Sampler","SampleType","StainType","StainDate","DateCounted","Who","SampleID","Sample","SlideRep","SporesCounted","FOV","TotalSpores","Clumps.4ormorecells.","CellsPerClump","Mycelia","Notes.x","LB_Batch","DATE_UTC","DateTime_MDT","DateTime_UTC","Day.x","Platform","FilterType","FlowRate","Volume_L","SamplingDuration_dmin","SampleStart_UTC","SampleEnd_UTC","Notes.y","RepVolume_L","RepVolume_m3","TotalSpores_LB","log1TotalSpores_LB","TotalSpores_LBcorr","TotalSpores.filter_LBcorr","TotalSpores_LBcorr_m3","log_volume_offset_m3","Sample_num","MeanLogPM2.5","MeansqrtPM2.5","MeanPM2.5_ug.m3","MedianPM2.5_ug.m3","MaxPM2.5_ug.m3","MeanPM1.0ug.m3","MedianPM1.0_ug.m3","MaxPM1.0_ug.m3","MeanPM10_ug.m3","MedianPM10_ug.m3","MaxPM10_ug.m3","MeanTemp_C","MedianTemp_C","MaxTemp_C","MinTemp_C","MeanRH","MedianRH","MinRH","MaxRH","MeanMR","MedianMR","MaxMR","MinMR","SmokeLevel","presence","MedianMR_centered","Day.y","Mean_CO2_CO_mg.m3","Median_CO2_CO_mg.m3","Mean_DeltaCO2_mg.m3","Median_DeltaCO_mg.m3","Mean_DeltaCO2_ppm","Median_DeltaCO2_ppm","Mean_DeltaCO_ppm","Median_DeltaCO_ppm","Max_DeltaCO_ppm","MeanMCE","MedianMCE","TC_mg.m3","bcorr_TC_mg.m3","Gas_TC_Carbon_mg.m3"
"FASMEE23","Button","Ambient","CW/KOH",20241217,"12/20/2024","Lampman","B3B","B3B","B",TRUE,10,2,NA,"",2,".0625, .166","D",2023-10-09,2023-10-09 12:17:00,2023-10-09 18:17:00,2,"Blue","PTFE",4,40,10,2023-10-09 18:17:00,2023-10-09 18:27:00,"",20,0.02,0.2,0.182321556793955,1.8,130.05,90,-3.91202300542815,3,1.31737637166247,1.93283124347945,3.73816363636364,3.772,4.856,0.0431818181818182,0,2.25,0.0431818181818182,0,2.25,14.1910331384016,13.8888888888889,16.1111111111111,11.6666666666667,23.6842105263158,23,21,26,3.35815549149463,3.54856909262987,4.02892321604069,2.75476213820575,"None",TRUE,-0.0657647791312153,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FASMEE23","Button","Smoke","CW/KOH",20250221,"3/12/2025","Lampman","B7B","B7","B",FALSE,1,0,NA,"",0,"","F",2023-10-10,2023-10-09 18:17:00,2023-10-10 00:17:00,2,"Blue","PTFE",4,60,15,2023-10-10 00:17:00,2023-10-10 00:32:00,"",30,0.03,0,0,0,0,0,-3.50655789731998,7,6.36907002888128,35.6010366289333,1625.57047762356,1670.54742003125,4296.5472918125,191.864464285714,243.5,323.75,1134.54755952381,1266.25,2565.125,11.9378306878307,12.2222222222222,12.7777777777778,9.44444444444444,27.4642857142857,27,27,29,3.43830869055206,3.49798559298276,3.81130962441916,2.83267941327911,"High",FALSE,-0.11634827877833,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FASMEE23","Button","Smoke","CW/KOH",20250221,"3/12/2025","Lampman","B7B","B7","B",FALSE,2,0,NA,"",0,"","F",2023-10-10,2023-10-09 18:17:00,2023-10-10 00:17:00,2,"Blue","PTFE",4,60,15,2023-10-10 00:17:00,2023-10-10 00:32:00,"",30,0.03,0,0,0,0,0,-3.50655789731998,7,6.36907002888128,35.6010366289333,1625.57047762356,1670.54742003125,4296.5472918125,191.864464285714,243.5,323.75,1134.54755952381,1266.25,2565.125,11.9378306878307,12.2222222222222,12.7777777777778,9.44444444444444,27.4642857142857,27,27,29,3.43830869055206,3.49798559298276,3.81130962441916,2.83267941327911,"High",FALSE,-0.11634827877833,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FASMEE23","Button","Smoke","CW/KOH",20250221,"3/12/2025","Lampman","B7B","B7","B",FALSE,3,0,NA,"",0,"","F",2023-10-10,2023-10-09 18:17:00,2023-10-10 00:17:00,2,"Blue","PTFE",4,60,15,2023-10-10 00:17:00,2023-10-10 00:32:00,"",30,0.03,0,0,0,0,0,-3.50655789731998,7,6.36907002888128,35.6010366289333,1625.57047762356,1670.54742003125,4296.5472918125,191.864464285714,243.5,323.75,1134.54755952381,1266.25,2565.125,11.9378306878307,12.2222222222222,12.7777777777778,9.44444444444444,27.4642857142857,27,27,29,3.43830869055206,3.49798559298276,3.81130962441916,2.83267941327911,"High",FALSE,-0.11634827877833,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FASMEE23","Button","Smoke","CW/KOH",20250221,"3/12/2025","Lampman","B7B","B7","B",FALSE,4,0,NA,"",1,"0.2","F",2023-10-10,2023-10-09 18:17:00,2023-10-10 00:17:00,2,"Blue","PTFE",4,60,15,2023-10-10 00:17:00,2023-10-10 00:32:00,"",30,0.03,0,0,0,0,0,-3.50655789731998,7,6.36907002888128,35.6010366289333,1625.57047762356,1670.54742003125,4296.5472918125,191.864464285714,243.5,323.75,1134.54755952381,1266.25,2565.125,11.9378306878307,12.2222222222222,12.7777777777778,9.44444444444444,27.4642857142857,27,27,29,3.43830869055206,3.49798559298276,3.81130962441916,2.83267941327911,"High",FALSE,-0.11634827877833,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FASMEE23","Button","Smoke","CW/KOH",20250221,"3/12/2025","Lampman","B7B","B7","B",FALSE,5,0,NA,"",0,"","F",2023-10-10,2023-10-09 18:17:00,2023-10-10 00:17:00,2,"Blue","PTFE",4,60,15,2023-10-10 00:17:00,2023-10-10 00:32:00,"",30,0.03,0,0,0,0,0,-3.50655789731998,7,6.36907002888128,35.6010366289333,1625.57047762356,1670.54742003125,4296.5472918125,191.864464285714,243.5,323.75,1134.54755952381,1266.25,2565.125,11.9378306878307,12.2222222222222,12.7777777777778,9.44444444444444,27.4642857142857,27,27,29,3.43830869055206,3.49798559298276,3.81130962441916,2.83267941327911,"High",FALSE,-0.11634827877833,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FASMEE23","Button","Smoke","CW/KOH",20250221,"3/12/2025","Lampman","B7B","B7","B",FALSE,6,0,NA,"",0,"","F",2023-10-10,2023-10-09 18:17:00,2023-10-10 00:17:00,2,"Blue","PTFE",4,60,15,2023-10-10 00:17:00,2023-10-10 00:32:00,"",30,0.03,0,0,0,0,0,-3.50655789731998,7,6.36907002888128,35.6010366289333,1625.57047762356,1670.54742003125,4296.5472918125,191.864464285714,243.5,323.75,1134.54755952381,1266.25,2565.125,11.9378306878307,12.2222222222222,12.7777777777778,9.44444444444444,27.4642857142857,27,27,29,3.43830869055206,3.49798559298276,3.81130962441916,2.83267941327911,"High",FALSE,-0.11634827877833,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FASMEE23","Button","Smoke","CW/KOH",20250221,"3/12/2025","Lampman","B7B","B7","B",TRUE,7,1,NA,"",0,"","F",2023-10-10,2023-10-09 18:17:00,2023-10-10 00:17:00,2,"Blue","PTFE",4,60,15,2023-10-10 00:17:00,2023-10-10 00:32:00,"",30,0.03,0,0,1,72.25,33.3333333333333,-3.50655789731998,7,6.36907002888128,35.6010366289333,1625.57047762356,1670.54742003125,4296.5472918125,191.864464285714,243.5,323.75,1134.54755952381,1266.25,2565.125,11.9378306878307,12.2222222222222,12.7777777777778,9.44444444444444,27.4642857142857,27,27,29,3.43830869055206,3.49798559298276,3.81130962441916,2.83267941327911,"High",TRUE,-0.11634827877833,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FASMEE23","Button","Smoke","CW/KOH",20250221,"3/12/2025","Lampman","B7B","B7","B",FALSE,8,0,NA,"",0,"","F",2023-10-10,2023-10-09 18:17:00,2023-10-10 00:17:00,2,"Blue","PTFE",4,60,15,2023-10-10 00:17:00,2023-10-10 00:32:00,"",30,0.03,0,0,0,0,0,-3.50655789731998,7,6.36907002888128,35.6010366289333,1625.57047762356,1670.54742003125,4296.5472918125,191.864464285714,243.5,323.75,1134.54755952381,1266.25,2565.125,11.9378306878307,12.2222222222222,12.7777777777778,9.44444444444444,27.4642857142857,27,27,29,3.43830869055206,3.49798559298276,3.81130962441916,2.83267941327911,"High",FALSE,-0.11634827877833,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FASMEE23","Button","Smoke","CW/KOH",20250221,"3/12/2025","Lampman","B7B","B7","B",TRUE,9,2,NA,"",0,"","F",2023-10-10,2023-10-09 18:17:00,2023-10-10 00:17:00,2,"Blue","PTFE",4,60,15,2023-10-10 00:17:00,2023-10-10 00:32:00,"",30,0.03,0,0,2,144.5,66.6666666666667,-3.50655789731998,7,6.36907002888128,35.6010366289333,1625.57047762356,1670.54742003125,4296.5472918125,191.864464285714,243.5,323.75,1134.54755952381,1266.25,2565.125,11.9378306878307,12.2222222222222,12.7777777777778,9.44444444444444,27.4642857142857,27,27,29,3.43830869055206,3.49798559298276,3.81130962441916,2.83267941327911,"High",TRUE,-0.11634827877833,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FASMEE23","Button","Smoke","CW/KOH",20250221,"3/12/2025","Lampman","B7B","B7","B",FALSE,10,0,NA,"",0,"","F",2023-10-10,2023-10-09 18:17:00,2023-10-10 00:17:00,2,"Blue","PTFE",4,60,15,2023-10-10 00:17:00,2023-10-10 00:32:00,"",30,0.03,0,0,0,0,0,-3.50655789731998,7,6.36907002888128,35.6010366289333,1625.57047762356,1670.54742003125,4296.5472918125,191.864464285714,243.5,323.75,1134.54755952381,1266.25,2565.125,11.9378306878307,12.2222222222222,12.7777777777778,9.44444444444444,27.4642857142857,27,27,29,3.43830869055206,3.49798559298276,3.81130962441916,2.83267941327911,"High",FALSE,-0.11634827877833,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FASMEE23","Button","Smoke","CW/KOH",20250127,"3/12/2025","Lampman","B9B","B9","B",FALSE,1,0,NA,"",0,"","E",2023-10-10,2023-10-10 15:09:00,2023-10-10 21:09:00,3,"Blue","PTFE",4,60,15,2023-10-10 21:09:00,2023-10-10 21:24:00,"",30,0.03,0.1,0.0953101798043249,0,0,0,-3.50655789731998,9,5.29709557853609,19.3466431464943,584.123196627094,180.75675,3114.5951041344,176.698148148148,130.5,422.625,446.172839506173,237.875,1716.21,10.8074935400517,10.5555555555556,11.6666666666667,10,33.0116279069767,33,31,34,3.84755654322465,3.82515368908763,4.16705056996941,3.64859285797902,"Low",FALSE,0.210819817326543,3,61.2042743966305,66.3921308617705,201.814906555965,15.7464380900351,108.784440826061,218.711205508665,12.1776042318889,13.3199766930851,24.5377224480851,0.896793933565282,0.89807374740202,2.16188907896292,1.78852662264041,62.9928010192709
"FASMEE23","Button","Smoke","CW/KOH",20250127,"3/12/2025","Lampman","B9B","B9","B",FALSE,2,0,NA,"",0,"","E",2023-10-10,2023-10-10 15:09:00,2023-10-10 21:09:00,3,"Blue","PTFE",4,60,15,2023-10-10 21:09:00,2023-10-10 21:24:00,"",30,0.03,0.1,0.0953101798043249,0,0,0,-3.50655789731998,9,5.29709557853609,19.3466431464943,584.123196627094,180.75675,3114.5951041344,176.698148148148,130.5,422.625,446.172839506173,237.875,1716.21,10.8074935400517,10.5555555555556,11.6666666666667,10,33.0116279069767,33,31,34,3.84755654322465,3.82515368908763,4.16705056996941,3.64859285797902,"Low",FALSE,0.210819817326543,3,61.2042743966305,66.3921308617705,201.814906555965,15.7464380900351,108.784440826061,218.711205508665,12.1776042318889,13.3199766930851,24.5377224480851,0.896793933565282,0.89807374740202,2.16188907896292,1.78852662264041,62.9928010192709
"FASMEE23","Button","Smoke","CW/KOH",20250127,"3/12/2025","Lampman","B9B","B9","B",FALSE,3,0,NA,"",0,"","E",2023-10-10,2023-10-10 15:09:00,2023-10-10 21:09:00,3,"Blue","PTFE",4,60,15,2023-10-10 21:09:00,2023-10-10 21:24:00,"",30,0.03,0.1,0.0953101798043249,0,0,0,-3.50655789731998,9,5.29709557853609,19.3466431464943,584.123196627094,180.75675,3114.5951041344,176.698148148148,130.5,422.625,446.172839506173,237.875,1716.21,10.8074935400517,10.5555555555556,11.6666666666667,10,33.0116279069767,33,31,34,3.84755654322465,3.82515368908763,4.16705056996941,3.64859285797902,"Low",FALSE,0.210819817326543,3,61.2042743966305,66.3921308617705,201.814906555965,15.7464380900351,108.784440826061,218.711205508665,12.1776042318889,13.3199766930851,24.5377224480851,0.896793933565282,0.89807374740202,2.16188907896292,1.78852662264041,62.9928010192709
"FASMEE23","Button","Smoke","CW/KOH",20250127,"3/12/2025","Lampman","B9B","B9","B",TRUE,4,4,NA,"",0,"","E",2023-10-10,2023-10-10 15:09:00,2023-10-10 21:09:00,3,"Blue","PTFE",4,60,15,2023-10-10 21:09:00,2023-10-10 21:24:00,"",30,0.03,0.1,0.0953101798043249,3.9,281.775,130,-3.50655789731998,9,5.29709557853609,19.3466431464943,584.123196627094,180.75675,3114.5951041344,176.698148148148,130.5,422.625,446.172839506173,237.875,1716.21,10.8074935400517,10.5555555555556,11.6666666666667,10,33.0116279069767,33,31,34,3.84755654322465,3.82515368908763,4.16705056996941,3.64859285797902,"Low",TRUE,0.210819817326543,3,61.2042743966305,66.3921308617705,201.814906555965,15.7464380900351,108.784440826061,218.711205508665,12.1776042318889,13.3199766930851,24.5377224480851,0.896793933565282,0.89807374740202,2.16188907896292,1.78852662264041,62.9928010192709
"FASMEE23","Button","Smoke","CW/KOH",20250127,"3/12/2025","Lampman","B9B","B9","B",TRUE,5,6,NA,"",0,"","E",2023-10-10,2023-10-10 15:09:00,2023-10-10 21:09:00,3,"Blue","PTFE",4,60,15,2023-10-10 21:09:00,2023-10-10 21:24:00,"",30,0.03,0.1,0.0953101798043249,5.9,426.275,196.666666666667,-3.50655789731998,9,5.29709557853609,19.3466431464943,584.123196627094,180.75675,3114.5951041344,176.698148148148,130.5,422.625,446.172839506173,237.875,1716.21,10.8074935400517,10.5555555555556,11.6666666666667,10,33.0116279069767,33,31,34,3.84755654322465,3.82515368908763,4.16705056996941,3.64859285797902,"Low",TRUE,0.210819817326543,3,61.2042743966305,66.3921308617705,201.814906555965,15.7464380900351,108.784440826061,218.711205508665,12.1776042318889,13.3199766930851,24.5377224480851,0.896793933565282,0.89807374740202,2.16188907896292,1.78852662264041,62.9928010192709
"FASMEE23","Button","Smoke","CW/KOH",20250127,"3/12/2025","Lampman","B9B","B9","B",FALSE,6,0,NA,"",0,"","E",2023-10-10,2023-10-10 15:09:00,2023-10-10 21:09:00,3,"Blue","PTFE",4,60,15,2023-10-10 21:09:00,2023-10-10 21:24:00,"",30,0.03,0.1,0.0953101798043249,0,0,0,-3.50655789731998,9,5.29709557853609,19.3466431464943,584.123196627094,180.75675,3114.5951041344,176.698148148148,130.5,422.625,446.172839506173,237.875,1716.21,10.8074935400517,10.5555555555556,11.6666666666667,10,33.0116279069767,33,31,34,3.84755654322465,3.82515368908763,4.16705056996941,3.64859285797902,"Low",FALSE,0.210819817326543,3,61.2042743966305,66.3921308617705,201.814906555965,15.7464380900351,108.784440826061,218.711205508665,12.1776042318889,13.3199766930851,24.5377224480851,0.896793933565282,0.89807374740202,2.16188907896292,1.78852662264041,62.9928010192709
"FASMEE23","Button","Smoke","CW/KOH",20250127,"3/12/2025","Lampman","B9B","B9","B",FALSE,7,0,NA,"",0,"","E",2023-10-10,2023-10-10 15:09:00,2023-10-10 21:09:00,3,"Blue","PTFE",4,60,15,2023-10-10 21:09:00,2023-10-10 21:24:00,"",30,0.03,0.1,0.0953101798043249,0,0,0,-3.50655789731998,9,5.29709557853609,19.3466431464943,584.123196627094,180.75675,3114.5951041344,176.698148148148,130.5,422.625,446.172839506173,237.875,1716.21,10.8074935400517,10.5555555555556,11.6666666666667,10,33.0116279069767,33,31,34,3.84755654322465,3.82515368908763,4.16705056996941,3.64859285797902,"Low",FALSE,0.210819817326543,3,61.2042743966305,66.3921308617705,201.814906555965,15.7464380900351,108.784440826061,218.711205508665,12.1776042318889,13.3199766930851,24.5377224480851,0.896793933565282,0.89807374740202,2.16188907896292,1.78852662264041,62.9928010192709
