DATE_UTC,DateTime_MDT,DateTime_UTC,Day,SampleID,Platform,FilterType,Sampler,SampleType,FlowRate,Volume_L,SamplingDuration_dmin,SampleStart_UTC,SampleEnd_UTC,Notes
10/10/2023,10/10/2023 15:09,10/10/2023 21:09,3,R12A,Red,PTFE,Button,Smoke,4,60,15,21:09:00,21:24:00,
10/10/2023,10/10/2023 15:09,10/10/2023 21:09,3,R12B,Red,PTFE,Button,Smoke,4,60,15,21:09:00,21:24:00,
10/10/2023,10/10/2023 15:09,10/10/2023 21:09,3,B9,Blue,Quartz,Cassette,Smoke,2,37.5,18.75,21:09:00,21:27:45,
10/11/2023,10/10/2023 18:14,10/11/2023 0:14,3,B_pre10-12A,Blue,NA,CO_CO2,Ambient,NA,NA,10,0:14:00,0:24:00,Ambient threshold for sample 10-12
10/11/2023,10/10/2023 18:25,10/11/2023 0:25,3,B10A,Blue,PTFE,Button,Smoke,4,60,15,0:25:00,0:40:00,Partial smoke at best
10/11/2023,10/10/2023 18:25,10/11/2023 0:25,3,B10B,Blue,PTFE,Button,Smoke,4,60,15,0:25:00,0:40:00,Partial smoke at best
10/11/2023,10/10/2023 18:25,10/11/2023 0:25,3,R13A,Red,PTFE,Button,Smoke,4,60,15,0:25:00,0:40:00,Partial smoke at best
10/11/2023,10/10/2023 18:25,10/11/2023 0:25,3,R13B,Red,PTFE,Button,Smoke,4,60,15,0:25:00,0:40:00,Partial smoke at best
10/11/2023,10/10/2023 18:25,10/11/2023 0:25,3,B10,Blue,Quartz,Cassette,Smoke,2,35,17.5,0:25:00,0:42:30,Partial smoke at best
10/11/2023,10/10/2023 18:53,10/11/2023 0:53,3,B11A,Blue,PTFE,Button,Smoke,4,52.28,13.07,0:53:00,1:06:04,Arms loose on ATAT-RTH with time remaining on leland (1:56min)
10/11/2023,10/10/2023 18:53,10/11/2023 0:53,3,B11B,Blue,PTFE,Button,Smoke,4,52.28,13.07,0:53:00,1:06:04,Arms loose on ATAT-RTH with time remaining on leland (1:56min)
10/11/2023,10/10/2023 18:53,10/11/2023 0:53,3,R14A,Red,PTFE,Button,Smoke,4,60,15,0:53:00,1:08:00,Partial smoke at best
10/11/2023,10/10/2023 18:53,10/11/2023 0:53,3,R14B,Red,PTFE,Button,Smoke,4,60,15,0:53:00,1:08:00,Partial smoke at best
10/11/2023,10/10/2023 18:53,10/11/2023 0:53,3,B11,Blue,Quartz,Cassette,Smoke,2,27.13333333,13.56666667,0:53:00,1:06:34,Partial smoke at best
10/11/2023,10/10/2023 19:29,10/11/2023 1:29,3,B12A,Blue,PTFE,Button,Smoke,4,60,15,1:29:00,1:44:00,Partial smoke at best
10/11/2023,10/10/2023 19:29,10/11/2023 1:29,3,B12B,Blue,PTFE,Button,Smoke,4,60,15,1:29:00,1:44:00,Partial smoke at best
10/11/2023,10/10/2023 19:21,10/11/2023 1:21,3,R15A,Red,PTFE,Button,Smoke,4,60,15,1:21:00,1:36:00,Partial smoke at best
10/11/2023,10/10/2023 19:21,10/11/2023 1:21,3,R15B,Red,PTFE,Button,Smoke,4,60,15,1:21:00,1:36:00,Partial smoke at best
10/11/2023,10/10/2023 19:29,10/11/2023 1:29,3,B12,Blue,Quartz,Cassette,Smoke,2,39.33333333,19.66666667,1:29:00,1:48:40,Partial smoke at best
10/11/2023,10/10/2023 20:05,10/11/2023 2:05,3,Blank4A,Blank,PTFE,Button,FieldBlank,4,NA,NA,2:05:00,NA,
10/11/2023,10/10/2023 20:05,10/11/2023 2:05,3,Blank4B,Blank,PTFE,Button,FieldBlank,4,NA,NA,2:05:00,NA,
